【实时弹幕】,1664349064832,2022-09-28 15:11:04,little1YAYA,领券享专属优惠
【用户关注】,1664349064892,2022-09-28 15:11:04,little1YAYA
【用户正在购买】,1664349074898,2022-09-28 15:11:14,Ronin幺儿,140号
【用户正在购买】,1664349085095,2022-09-28 15:11:25,Ronin幺儿,139号
【用户正在购买】,1664349087626,2022-09-28 15:11:27,little1YAYA,142号
【主播结束讲解】,1664349125141,2022-09-28 15:12:05,主播,47
【主播推送商品】,1664349136208,2022-09-28 15:12:16,主播,45号
【主播推送商品】,1664349136361,2022-09-28 15:12:16,主播,45号
【用户正在购买】,1664349137838,2022-09-28 15:12:17,jd_pajIGBxiZNgh,45号
【主播正在讲解】,1664349149126,2022-09-28 15:12:29,主播,45号
【主播弹幕】,1664349149141,2022-09-28 15:12:29,主播,正在讲解45号宝贝
【主播开始讲解】,1664349149200,2022-09-28 15:12:29,主播,45
【用户正在购买】,1664349180376,2022-09-28 15:13:00,jd_pkFTmgAovAOA,121号
【用户正在购买】,1664349181960,2022-09-28 15:13:01,噜啦噜啦嘞噜dfhf,138号
【实时弹幕】,1664349186194,2022-09-28 15:13:06,白淑梅梅,领券享专属优惠
【用户正在购买】,1664349204167,2022-09-28 15:13:24,jd_pkFTmgAovAOA,66号
【用户正在购买】,1664349221850,2022-09-28 15:13:41,daozhi,10号
【用户正在购买】,1664349227035,2022-09-28 15:13:47,little1YAYA,142号
【主播结束讲解】,1664349230286,2022-09-28 15:13:50,主播,45
【主播推送商品】,1664349241121,2022-09-28 15:14:01,主播,44号
【主播推送商品】,1664349241192,2022-09-28 15:14:01,主播,44号
【用户正在购买】,1664349242176,2022-09-28 15:14:02,jd_pajIGBxiZNgh,44号
【主播正在讲解】,1664349257940,2022-09-28 15:14:17,主播,44号
【主播弹幕】,1664349257953,2022-09-28 15:14:17,主播,正在讲解44号宝贝
【主播开始讲解】,1664349258073,2022-09-28 15:14:18,主播,44
【用户正在购买】,1664349283048,2022-09-28 15:14:43,人间九月的花火,147号
【用户正在购买】,1664349307921,2022-09-28 15:15:07,LZ157807970,128号
【用户正在购买】,1664349324170,2022-09-28 15:15:24,jd_xAQVmXNfrXwd,126号
【主播结束讲解】,1664349338111,2022-09-28 15:15:38,主播,44
【用户正在购买】,1664349374470,2022-09-28 15:16:14,qing5786,66号
【用户正在购买】,1664349385880,2022-09-28 15:16:25,qing5786,66号
【用户进入店铺】,1664349396203,2022-09-28 15:16:36,张亦博_,1000096602
【用户正在购买】,1664349418699,2022-09-28 15:16:58,龙龙幽,6号
【实时弹幕】,1664349448942,2022-09-28 15:17:28,甜蜜蜜20162016,领券享专属优惠
