【主播弹幕】,1656652449869,2022-07-01 13:14:09,主播,"1-78号199-130！！实付满69整点全屏抽零食！！
"
【主播弹幕】,1656652450152,2022-07-01 13:14:10,主播,"1-78号199-130！！实付满69整点全屏抽零食！！
"
【主播弹幕】,1656652450547,2022-07-01 13:14:10,主播,"1-78号199-130！！实付满69整点全屏抽零食！！
"
【主播弹幕】,1656652450912,2022-07-01 13:14:10,主播,"1-78号199-130！！实付满69整点全屏抽零食！！
"
【主播正在讲解】,1656652552677,2022-07-01 13:15:52,主播,118号
【主播弹幕】,1656652552689,2022-07-01 13:15:52,主播,正在讲解118号宝贝
【主播开始讲解】,1656652552730,2022-07-01 13:15:52,主播,118
【主播结束讲解】,1656652580060,2022-07-01 13:16:20,主播,118
【用户加入购物车】,1656652619221,2022-07-01 13:16:59,jd_ulcIcBGBwUtv,99号
【用户加入购物车】,1656652636971,2022-07-01 13:17:16,jd_ulcIcBGBwUtv,92号
【用户加入购物车】,1656652675723,2022-07-01 13:17:55,YYYY093255,110号
【主播正在讲解】,1656652682953,2022-07-01 13:18:02,主播,118号
【主播弹幕】,1656652682968,2022-07-01 13:18:02,主播,正在讲解118号宝贝
【主播开始讲解】,1656652683021,2022-07-01 13:18:03,主播,118
【实时弹幕】,1656652692731,2022-07-01 13:18:12,YYYY093255,冰皮蛋糕一箱多少个
【主播结束讲解】,1656652698698,2022-07-01 13:18:18,主播,118
【用户加入购物车】,1656652726699,2022-07-01 13:18:46,jd_ulcIcBGBwUtv,42号
【用户加入购物车】,1656652727134,2022-07-01 13:18:47,kxmao985,131号
【用户正在购买】,1656652730225,2022-07-01 13:18:50,kxmao985,131号
【主播推送商品】,1656652737187,2022-07-01 13:18:57,主播,110号
【主播推送商品】,1656652737225,2022-07-01 13:18:57,主播,110号
【主播正在讲解】,1656652738096,2022-07-01 13:18:58,主播,110号
【主播弹幕】,1656652738114,2022-07-01 13:18:58,主播,正在讲解110号宝贝
【主播开始讲解】,1656652738154,2022-07-01 13:18:58,主播,110
【用户领券】,1656652837770,2022-07-01 13:20:37,jd_雷厉风行,领取了满199减130元券
【主播推送商品】,1656652843608,2022-07-01 13:20:43,主播,110号
【主播推送商品】,1656652843614,2022-07-01 13:20:43,主播,110号
【用户加入购物车】,1656652845010,2022-07-01 13:20:45,jd_53da8028dfefa,19号
【主播结束讲解】,1656652845607,2022-07-01 13:20:45,主播,110
【用户加入购物车】,1656652846283,2022-07-01 13:20:46,jd_53da8028dfefa,19号
【用户加入购物车】,1656652846672,2022-07-01 13:20:46,jd_雷厉风行,127号
